sample,ses_dimension,mediator,outcome,n,a_path,a_p,b_path,b_p,c_total,c_total_p,c_prime,c_prime_p,indirect_ab,direct_plus_indirect_check,r2_mediator_model,r2_outcome_model,indirect_boot_mean,indirect_ci_low_95,indirect_ci_high_95,prop_ab_positive,p_indirect_boot
Combined,SES Factor 2,Conceptual exposure,AI conceptual understanding,141,0.0860735513087917,0.2401149563405952,0.010912365008745236,0.9047948713055729,0.07510332124266149,0.524783351505866,0.07416405523318093,0.5298088431667228,0.0009392660094804963,0.07510332124266142,0.007408656234906941,0.005758706351125742,0.0017131921647660822,-0.01887444811753081,0.025967626970502016,0.5553333333333333,0.8893333333333333
Combined,SES Factor 2,Conceptual exposure,AI ability/confidence,141,0.0860735513087917,0.2401149563405952,0.0112244423965106,0.9371353993331861,0.13456703528209163,0.1233205098835141,0.1336009076635629,0.10418039717508304,0.000966127618528632,0.13456703528209152,0.007408656234906941,0.01823334168914892,0.001471856443906655,-0.03559382248002176,0.04055871506639266,0.546,0.9079999999999999
Combined,SES Factor 2,Practical AI use,AI conceptual understanding,141,0.1442997604366091,0.0881394715164091,0.028105063825180854,0.7705620482782938,0.07510332124266149,0.524783351505866,0.07104776726563225,0.5500007790318717,0.004055553977029206,0.07510332124266146,0.02082242086206243,0.006413955956235062,0.0034570230368981096,-0.03089797686287942,0.039394590620463556,0.5963333333333334,0.8073333333333332
Combined,SES Factor 2,Practical AI use,AI ability/confidence,141,0.1442997604366091,0.0881394715164091,0.2027322181623103,0.08185383132096642,0.13456703528209163,0.1233205098835141,0.10531282476848788,0.17856313891962328,0.02925421051360375,0.13456703528209163,0.02082242086206243,0.058352830432848,0.031189880738529154,-0.0026547366853771808,0.09874418954588804,0.9473333333333334,0.10533333333333328
Combined,SES Factor 2,Learning ecology,AI conceptual understanding,141,0.2525114105583867,0.0013106908691101911,0.08084695864065541,0.4174399166639988,0.07510332124266149,0.524783351505866,0.05468854167695399,0.6520275807422178,0.02041477956570745,0.07510332124266145,0.06376201246218605,0.011759976358405755,0.022349905822818844,-0.026329075506277846,0.08329343694772054,0.796,0.4079999999999999
Combined,SES Factor 2,Learning ecology,AI ability/confidence,141,0.2525114105583867,0.0013106908691101911,0.13757238946717593,0.28717383601095325,0.13456703528209163,0.1233205098835141,0.0998284371638472,0.18338720984758905,0.03473859811824433,0.13456703528209155,0.06376201246218605,0.03582767912909912,0.03748335300794919,-0.021811739732508988,0.11923299383952955,0.8856666666666667,0.22866666666666657
Combined,SES Factor 2,Language load,AI conceptual understanding,141,-0.08643372618508449,0.3890926388997119,-0.3250140787896222,0.0005024243706801855,0.07510332124266149,0.524783351505866,0.04701114335026177,0.6546225628417667,0.02809217789239968,0.07510332124266145,0.007470789022237967,0.11048548981440665,0.029997607632959094,-0.024883416266900077,0.10210131787747652,0.8343333333333334,0.33133333333333326
Combined,SES Factor 2,Language load,AI ability/confidence,141,-0.08643372618508449,0.3890926388997119,-0.18199665157564998,0.13257146732781344,0.13456703528209163,0.1233205098835141,0.11883638653319968,0.21653760152980261,0.015730648748891955,0.13456703528209163,0.007470789022237967,0.050983614859299475,0.015890928296685456,-0.018583226008564924,0.06874640509545298,0.8006666666666666,0.3986666666666667
Combined,SES Factor 2,Epistemic stance,AI conceptual understanding,141,0.14796096381503682,0.17595521798957448,0.2826089838937006,0.008762950575123234,0.07510332124266149,0.524783351505866,0.033288223602961395,0.7504309618942714,0.041815097639700156,0.07510332124266156,0.02189244681307445,0.0837598442484907,0.04271839779268564,-0.003934947025545127,0.11396835670633272,0.9606666666666667,0.07866666666666666
Combined,SES Factor 2,Epistemic stance,AI ability/confidence,141,0.14796096381503682,0.17595521798957448,0.2368430638873113,0.11269157552736254,0.13456703528209163,0.1233205098835141,0.0995235072764187,0.2085792096270993,0.03504352800567292,0.13456703528209163,0.02189244681307445,0.0729748750410566,0.03919664612406741,-0.009264497326199203,0.13172913233908592,0.9176666666666666,0.16466666666666674
